股票代码,主营业务,产品类型,产品名称,经营范围,股票名称
688167,光子行业上游的激光光源和原材料，光学元器件，光子产业链中游的光子应用模块、模组、子系统的研发、生产和销售。,半导体激光元器件和原材料、激光光学元器件、汽车应用解决方案、泛半导体制程解决方案、医疗健康解决方案、全球光子,半导体激光元器件和原材料、激光光学元器件、汽车应用解决方案、泛半导体制程解决方案、医疗健康解决方案、全球光子,一般项目：光电子器件制造；光电子器件销售；光学仪器制造；光学仪器销售；电子专用材料研发；电子专用材料制造；电子专用材料销售；半导体器件专用设备制造；半导体器件专用设备销售；电子元器件与机电组件设备制造；电子元器件与机电组件设备销售；智能车载设备制造；智能车载设备销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；实验分析仪器制造；实验分析仪器销售；其他电子器件制造；货物进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,炬光科技
000999,高质量医药健康产品创新研发和智能制造。,自我诊疗（CHC）、处方药、包装印刷、药品、器械批发与零售,自我诊疗（CHC）、处方药、包装印刷、药品、器械批发与零售,中药材种植；相关技术开发、转让、服务；生产所需的机械设备和原材料的进口业务；自产产品的出口（国家限定公司经营或禁止进出口的商品及技术除外）。化妆品及一类医疗器械的开发、销售；自有物业租赁、机动车停放服务。药品的开发、生产、销售；预包装食品（不含复热）的批发。,华润三九
688621,为国内医药企业和科研机构提供全过程的一站式药物研发服务。,仿制药药学研究服务、临床试验及生物分析服务、创新药、改良型新药研发服务、知识产权授权、权益分成,仿制药药学研究服务、临床试验及生物分析服务、创新药、改良型新药研发服务、知识产权授权、权益分成,一般项目：医学研究和试验发展；技术进出口；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；信息咨询服务（不含许可类信息咨询服务）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）许可项目：药品进出口；药品委托生产；检验检测服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）（不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,阳光诺和
600120,金融业务和类金融业务，涵盖信托、期货、人身险、融资租赁、基金管理、基金投资、财富管理等。,信托行业、期货行业、人身险行业、财富管理行业、私募基金行业、融资租赁行业,信托行业、期货行业、人身险行业、财富管理行业、私募基金行业、融资租赁行业,资产管理，实业投资，私募股权投资，投资管理，企业管理咨询服务，投资咨询，供应链管理，电子商务技术服务，进出口贸易（按商务部核定目录经营），进口商品的国内销售，纺织原辅材料、百货、五金交电、工艺美术品、化工产品（不含危险品及易制毒品）、机电设备、农副产品、金属材料、建筑材料、贵金属、矿产品（除专控）、医疗器械的销售，承包境外工程和境内国际招标工程，上述境外工程所需的设备、材料出口，对外派遣工程、生产及服务行业的劳动人员（不含海员），房屋租赁，设备租赁，经济技术咨询。（未经金融等监管部门批准，不得从事向公众融资存款、融资担保、代客理财等金融服务）（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,浙江东方
688328,半导体设备、智能显示装备、以及智能装备核心零部件的设计、研发、生产与销售，致力于为客户提供技术领先的智能装备制造综合解决方案。,平板显示模组类设备、半导体设备、核心零部件,平板显示模组类设备、半导体设备、核心零部件,一般经营项目：智能信息终端嵌入式软件及系统整体解决方案、自动化制造工艺系统研发及系统集成、客户关系管理软件、数控编程软件、应用软件及工控软件的研发、销售；货物及技术进出口。（法律、行政法规、国务院决定规定在登记前须批准的项目除外）许可经营项目：机器视觉产品、智能贴合机器终端产品、智能邦定机器终端产品等智能装备和关键配套零部件的研发、生产和销售；电子半导体工业自动化设备、触摸屏及液晶显示器生产专业设备及其他自动化非标设备、设施、工装夹具的研发、生产和销售；直线机器人产品、相关零部件及其运动控制软件、驱动的研发、生产、销售。,深科达
600075,国内氯碱化工产业化配套完整、产品型号齐全的聚氯乙烯生产服务。,聚氯乙烯、烧碱,聚氯乙烯、烧碱,化工产品(含腐蚀品具体范围以许可证为准)的生产和销售；汽车运输；番茄酱的生产和销售（限所属分支机构经营）；塑料制品的生产和销售；机电设备(小轿车及国家专项审批规定的产品除外)、建筑材料、五金交电、钢材、棉麻产品、轻纺产品、汽车配件、畜产品、干鲜果品的销售；农业种植、畜牧养殖、农业水土开发；柠檬酸、电石及副产品的生产和销售(上述经营项目仅限所属分支机构经营)；废旧塑料回收、再加工、销售；货物及技术的进出口经营(国家限定公司经营或禁止进出口的商品和技术除外)；农副产品的加工(国家有专项审批的产品除外)；保温材料的生产、销售、安装；机器设备、房屋、车辆租赁；货物装卸、搬运服务；纸质包装袋、复合包装袋、塑料编织袋、塑料袋的生产和销售。,新疆天业
000707,生产与销售纯碱、氯化铵及其他化工产品。,纯碱、氯化铵,纯碱、氯化铵,许可项目：危险化学品生产；肥料生产；危险化学品经营；食品添加剂生产；非煤矿山矿产资源开采；矿产资源勘查（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）一般项目：工程和技术研究和试验发展；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；软件开发；工业设计服务；仪器仪表制造；非居住房地产租赁；机械设备租赁；化工产品生产（不含许可类化工产品）；轻质建筑材料制造；润滑油加工、制造（不含危险化学品）；煤制品制造；机械电气设备制造；专用化学产品销售（不含危险化学品）；煤炭及制品销售；非金属矿及制品销售；金属材料销售；机械设备销售；化工产品销售（不含许可类化工产品）；电气设备销售；仪器仪表销售；轻质建筑材料销售；光电子器件销售；非食用盐销售；化肥销售；热力生产和供应；普通机械设备安装服务；非金属矿物制品制造；非食用盐加工；污水处理及其再生利用；专用设备修理；仪器仪表修理；电气设备修理；食品添加剂销售；石油制品销售（不含危险化学品）；石油制品制造（不含危险化学品）；货物进出口；石灰和石膏制造；石灰和石膏销售；橡胶制品销售；饲料原料销售；农副产品销售；食品销售（仅销售预包装食品）（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）,双环科技
300655,高纯湿化学品、锂电池材料、光刻胶、工业化学品和能源的研发、生产和销售。,光刻胶、高纯化学品、锂电池材料、工业化学品、能源,光刻胶、高纯化学品、锂电池材料、工业化学品、能源,生产电子工业用超纯化学材料（硫酸、硝酸、盐酸、氢氟酸、乙酸[含量＞80%]、2-丙醇、氟化铵、过氧化氢[20%≤含量≤60%]、氨溶液[10%＜含氨≤35%]）及液体消毒剂[过氧乙酸（含餐具洗涤剂）[含量≤43%，含水≥5%，含乙酸≥35%，含过氧化氢≤6%，含有稳定剂]、过氧化氢]，开发生产电子工业用超纯化学材料，销售公司自产产品；从事一般化学品和危险化学品（按有效的《危险化学品经营许可证》所列项目及方式经营）的批发业务（不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）；提供相关技术服务、咨询和技术转让。（依法须经批准的项目，经相关部门批准后方可开展经营活动）（外资比例小于25%）,晶瑞电材
002625,新一代超材料尖端装备产品的研发、生产及销售。,超材料功能结构件、先进高分子材料、功能预浸料、柔性超材料载体、复合材料结构件、超材料蜂窝芯材,超材料功能结构件、先进高分子材料、功能预浸料、柔性超材料载体、复合材料结构件、超材料蜂窝芯材,一般经营项目是：超材料智能结构及装备的研发、销售，汽车内饰件、汽车零件的销售，商用车、普通机械、仪器仪表的销售，经营进出口业务。船用配套设备制造；卫星移动通信终端制造；卫星移动通信终端销售；雷达及配套设备制造；物联网设备制造；物联网技术服务；高性能纤维及复合材料制造；高性能纤维及复合材料销售；新材料技术研发；可穿戴智能设备制造；电子元器件制造；国内贸易代理；以自有资金从事投资活动。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。许可经营项目是：超材料智能结构及装备的生产，汽车内饰件、汽车零件的生产。检验检测服务；民用航空器零部件设计和生产。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）。,光启技术
603676,化学药品制剂及其原料药的研发、生产、销售。,电解质类、微量元素类,注射用多种维生素、多种微量元素注射液、小儿多种维生素注射液、复方氨基酸注射液、吸入用乙酰半胱氨酸溶液、复方电解质注射液、混合糖电解质注射液、门冬氨酸钾注射液、蔗糖铁注射液,医药技术研发、技术咨询、技术服务、技术转让；药品技术的引进和推广；信息咨询、投资咨询（不含金融和经纪业务）；企业管理咨询、会议主持、展示展览服务（不含大型演出）。【依法须经批准的项目，经相关部门批准后，方可经营该项活动】,卫信康
300118,太阳能电池组件以及太阳能灯具等产品的生产和销售、太阳能光伏电站的建造、运营和出售。,太阳能电池及组件、太阳能电站EPC与转让、光伏电站电力、储能系统、灯具及辅助光伏产品,太阳能电池及组件、太阳能电站EPC与转让、光伏电站电力、储能系统、灯具及辅助光伏产品,一般项目：光伏设备及元器件制造；家用电器制造；照明器具制造；塑料制品制造；橡胶制品制造；光电子器件制造；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；光伏发电设备租赁；太阳能发电技术服务；住房租赁；合同能源管理；对外承包工程；货物进出口；进出口代理；技术进出口（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。许可项目：发电业务、输电业务、供（配）电业务；建设工程施工（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。（分支机构经营场所设在：宁海县兴科中路23号）。,东方日升
002930,为境内外石化产品生产商、贸易商和终端用户提供仓储综合服务及其他相关服务。,码头储罐综合服务、化工仓库综合服务、中转服务、物流链管理服务、洗舱服务、污水处理服务、危化车辆公路港服务、智慧客服服务、运输物流服务,码头储罐综合服务、化工仓库综合服务、中转服务、物流链管理服务、洗舱服务、污水处理服务、危化车辆公路港服务、智慧客服服务、运输物流服务,物流项目投资；物流链管理；码头、仓储的建设及经营；海上国际货运代理、陆路国际货运代理、国内货运代理，仓储代理；物流管理咨询，企业管理咨询，投资管理咨询。,宏川智慧
600787,仓储物流基础设施综合服务、大宗商品供应链服务、智慧运输平台建设与运营。,仓储物流基础设施综合服务、大宗商品供应链服务、智慧运输平台建设与运营,仓储物流基础设施综合服务、大宗商品供应链服务、智慧运输平台建设与运营,商品储存、加工、维修、包装、代展、检验；库场设备租赁；商品物资批发、零售；汽车（含小轿车）及配件销售；起重运输设备制造、维修；物资配送；货运代理；报关业务；物业管理；电机及电器修理；包装机械、电子产品、自动化控制系统和相关产品（含配件）的设计、生产、销售；上述范围的技术咨询、服务；组织完成涉及我国公路、水路、铁路运输的国际集装箱多式联运业务；货物装卸、搬倒业务；冶金炉料、矿产品批发兼零售；自营和代理各类商品和技术的进出口（国家限定公司经营或禁止进出口的商品和技术除外）；橡胶批发；国际货运代理；集装箱吊装、验货拆箱、装箱、拼箱；网上销售钢材；动产监管；纸品、纸浆、木浆的销售；化肥、有机肥、生物肥、复合肥、苜蓿草(饲料)的销售（危险品除外）；化工产品（危险化学品除外）销售；食用农产品：大麦的销售；木材的销售；集装箱维修；建筑用钢筋产品销售；水泥制品销售；建筑材料销售；金属材料销售；有色金属合金销售；高性能有色金属及合金材料销售；建筑砌块销售；供应链管理服务；食品经营；食用农产品批发；初级农产品收购；金属切削加工服务；有色金属压延加工；摩托车及零配件零售；摩托车及零配件批发；广告设计、代理；限分支机构经营：成品油、棉花、化工产品储存、销售；市场经营及管理服务；普通货运、货物专用运输（集装箱）；煤炭批发；焦炭批发；自有房屋租赁；限分支机构经营：粮食、食用油批发；限分支机构经营：煤炭零售；限分支机构经营：停车服务；货物专用运输（冷藏保鲜）；限分支机构经营：货运站（场）综合服务；重油、渣油、预包装食品的销售；乳制品销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,中储股份
002294,药品、医疗器械产品的研发、生产、销售，以及专利授权许可。,药品、医疗器械产品,心脑血管、肾脏、代谢类药物、医疗器械、骨科药物、头孢类抗生素、原料,货物及技术进出口业务(不含进口分销业务);自有物业租赁。药品的研发、技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；市场推广、营销。（以上项目不涉及外商投资准入特别管理措施，项目涉及应取得许可审批的，须凭相关审批可经营）。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）以下项目涉及应取得许可审批的，须凭相关审批文件方可经营：开发研究、生产化学原料药、粉针剂、片剂、胶囊。,信立泰
603278,胎圈钢丝、钢帘线以及胶管钢丝的研发、生产和销售。,胎圈钢丝、胶管钢丝、钢帘线,胎圈钢丝、胶管钢丝、钢帘线,生产、销售轮胎钢丝、胶管钢丝、钢丝帘线、铝包钢丝、钢丝绳、钢钉、铝制品、冶金轧辊及配件、纺织机械及配件、汽车配件、摩托车配件；喷涂、金属表面处理、硬化、防腐（以上项目须经环保部门验收合格后方可运营）；销售钢材、线材、铝型材；货物进出口业务；太阳能项目的投资、建设、生产及电力销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）,大业股份
600009,航空性业务和非航空性业务。,航空、相关服务,航空、相关服务,民用机场运营，公共航空运输，通用航空服务，保税仓库经营，道路旅客运输站经营，道路旅客运输经营，国营贸易管理货物的进出口，互联网上网服务，住宿服务，城市公共交通，海关监管货物仓储服务（不含危险化学品、危险货物），出口监管仓库经营，第一类增值电信业务，第二类增值电信业务，餐饮服务，食品互联网销售。航空运营支持服务，航空运输货物打包服务，航空国际货物运输代理，航空商务服务，非居住房地产租赁，柜台、摊位出租，国内贸易代理，广告设计、代理，广告制作，广告发布，停车场服务，报关业务，国内货物运输代理，旅客票务代理，租赁服务（不含许可类租赁服务），住房租赁，工程和技术研究和试验发展，会议及展览服务，普通货物仓储服务（不含危险化学品等需许可审批的项目），供应链管理服务，装卸搬运，仓储设备租赁服务，信息咨询服务（不含许可类信息咨询服务），物业管理，企业总部管理，专业保洁、清洗、消毒服务，餐厨垃圾处理，环境卫生管理（不含环境质量监测，污染源检查，城市生活垃圾、建筑垃圾、餐厨垃圾的处置服务），特种作业人员安全技术培训，安全咨询服务，人力资源服务（不含职业中介活动、劳务派遣服务），技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广，电动汽车充电基础设施运营，健身休闲活动，互联网销售，人工智能公共服务平台技术咨询服务，外卖递送服务。,上海机场
002057,磁性材料、金属制品及矿山设备的研发、制造，材料、工程检验检测服务业务。,工业原料、电子元器件、冶金、矿山、机电工程专用设备、金属制品、金属制品检测,工业原料、电子元器件、冶金、矿山、机电工程专用设备、金属制品、金属制品检测,磁性材料生产、磁性材料销售、稀土功能材料销售、电子专用材料制造、电子专用材料销售；金属材料销售；锻件及粉末冶金制品销售；电子元器件零售；模具销售；矿山机械制造；矿山机械销售；通用设备制造（不含特种设备制造）；通用零部件制造；工业自动控制系统装置制造；机械设备销售；金属矿石销售；非金属矿及制品销售；工业设计服务；工业工程设计服务；机械设备研发；工程和技术研究和试验发展；机械设备租赁；非居住房地产租赁；新材料技术研发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；石墨及碳素制品制造，石墨及碳素制品销售，石墨烯材料销售；金属制品研发，金属制品销售，化工产品销售（不含许可类化工产品）；仪器仪表制造；电池制造，电池销售。货物进出口（除许可业务外，可自主依法经营法律法规非禁止或限制的项目）。,中钢天源
300802,机器视觉设备、控制线缆组件、控制单元及设备的研发、生产和销售。,机器视觉设备、控制线缆组件、控制单元及设备,自动光学检测设备、3D在线X射线检查设备、高端自动化生产设备、控制线缆组件产品、多种智能制造及检测系统、半导体设备电气盘柜、光伏储能柜、光伏面板清洁机器人、储能热管理系统,从事智能、光电科技领域内的技术服务、技术咨询、技术开发、技术转让，机电设备、计算机软硬件及辅助设备的销售，光电设备的生产、销售，自有设备的租赁，从事货物及技术的进出口业务。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,矩子科技
600056,医药领域的生产、加工和贸易。,化学制剂、诊断药品及试剂、医用耗材、医疗器械、特医产品、医美产品、中成药、中药饮片、配方颗粒、生物制剂、营养保健品,化学制剂、诊断药品及试剂、医用耗材、医疗器械、特医产品、医美产品、中成药、中药饮片、配方颗粒、生物制剂、营养保健品,批发中成药、中药材、中药饮片、化学药制剂、化学原料药、抗生素、生化药品、生物制品、体外诊断试剂、毒性中药材、毒性中药饮片；销售医疗器械III、II类：眼科手术器械；矫形外科（骨科）手术器械；计划生育手术器械；注射穿刺器械；医用电子仪器设备；医用光学器具、仪器及内窥镜设备；医用超声仪器及有关设备；医用激光仪器设备；医用高频仪器设备；物理治疗及康复设备；中医器械；医用磁共振设备；医用X射线设备；医用X射线附属设备及部件；医用高能射线设备；医用核素设备；医用射线防护用品、装置；临床检验分析仪器；体外诊断试剂；体外循环及血液处理设备；植入材料和人工器官；手术室、急救室、诊疗室设备及器具；病房护理设备及器具；医用冷疗、低温、冷藏设备及器具；口腔科材料；医用卫生材料及敷料；医用缝合材料及粘合剂；医用高分子材料及制品；II类：显微外科手术器械；耳鼻喉科手术器械；口腔科手术器械；泌尿肛肠外科手术器械；妇产科用手术器械；普通诊察器械；口腔设备及器具；消毒和灭菌设备及器具；批发（非实物方式）预包装食品、乳制品（含婴幼儿配方乳粉）；对外派遣实施境外工程所需的劳务人员；加工中药饮片（仅限分公司经营）；进出口业务；经营国际招标采购业务，承办国际金融组织贷款项下的国际招标采购业务；经营高新技术及其产品的开发；承包国（境）外各类工程和境内国际招标工程；汽车的销售；种植中药材；销售谷物、豆类、薯类、饲料、化工产品（危险化学品及一类易制毒化学品除外）；仓储服务；租赁机械设备。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）,中国医药
600436,医药制造业、医药流通业及化妆品业等。,肝病用药、心脑血管用药,肝病用药、心脑血管用药,许可项目：药品生产；药品委托生产；食品生产；保健食品生产；饮料生产；茶叶制品生产；动物饲养；药品进出口；药品批发；药品零售；药品互联网信息服务；医疗器械互联网信息服务；第三类医疗器械生产；第三类医疗器械经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以相关部门批准文件或许可证件为准）。一般项目：食品进出口；货物进出口；进出口代理；食品销售（仅销售预包装食品）；食用农产品初加工；中草药种植；医学研究和试验发展；家用电器销售；文具用品批发；工艺美术品及收藏品批发（象牙及其制品除外）；第二类医疗器械销售；日用百货销售；日用品销售；箱包销售；包装材料及制品销售；化妆品批发；卫生用品和一次性使用医疗用品销售；日用化学产品销售；家居用品销售。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）。,片仔癀
002666,汽车精细化学品制造、汽车销售服务、汽车维修保养。,汽车精细化学品、汽车销售与维修、电镀中间体,汽车精细化学品、汽车销售与维修、电镀中间体,一般项目：专用化学产品制造（不含危险化学品）；专用化学产品销售（不含危险化学品）；润滑油加工、制造（不含危险化学品）；润滑油销售；化工产品生产（不含许可类化工产品）；化工产品销售（不含许可类化工产品）；新型催化材料及助剂销售；汽车零配件批发；汽车零配件零售；汽车装饰用品销售；涂料制造（不含危险化学品）；涂料销售（不含危险化学品）；日用化学产品制造；日用化学产品销售；货物进出口；技术进出口；以自有资金从事投资活动。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,德联集团
601668,房地产开发、融投资建造、城镇综合建设等领域。,房屋建筑工程、基础设施建设与投资、房地产开发与投资、勘察设计,房屋建筑工程、基础设施建设与投资、房地产开发与投资、勘察设计,一般经营项目：承担国内外公用、民用房屋建筑工程的施工、安装、咨询；基础设施项目的投资与承建；国内外房地产投资与开发；建筑与基础设施建设的勘察与设计；装饰工程、园林工程的设计与施工；实业投资；承包境内外资工程；进出口业务；建筑材料及其他非金属矿物制品、建筑用金属制品、工具、建筑工程机械和钻探机械的生产与销售。,中国建筑
301525,电力电子及电机控制领域内综合产品的研发、生产及销售。,暖通空调及冷冻冷藏设备、新能源汽车热管理系统、伺服驱动及控制系统,HVAC/R变频驱动器、空调系统控制器及变频驱动器、热泵系统控制器及变频驱动器、冷冻冷藏系统控制器及变频驱动器、电动压缩机控制器、PTC控制器、热管理多合一控制器、高压电驱和电机、低压电驱和电机、高性能矢量变频器,一般项目：技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；智能机器人的研发；智能机器人销售；人工智能硬件销售；电子产品销售；机械电气设备销售；工业自动控制系统装置销售；电子元器件与机电组件设备销售；新能源汽车电附件销售；伺服控制机构销售；微特电机及组件销售；租赁服务（不含许可类租赁服务）；货物进出口；技术进出口。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,儒竞科技
301638,为电力能源等行业客户提供数字化建设综合解决方案。,电网数字化、企业数字化、数字基础设施,数字电网智能运行系统、数字电网物联感知设备、企业运营管理系统、企业资产管理系统、云数一体的基础平台、数据中心(IDC),数字技术服务；标准化服务；工程和技术研究和试验发展；软件开发；集成电路芯片设计及服务；集成电路芯片及产品制造；电子元器件制造；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；计算机软硬件及辅助设备批发；软件销售；计算机软硬件及辅助设备零售；人工智能硬件销售；通讯设备销售；工业自动控制系统装置销售；云计算设备制造；云计算设备销售；云计算装备技术服务；互联网数据服务；工业互联网数据服务；大数据服务；数据处理服务；数据处理和存储支持服务；人工智能应用软件开发；人工智能基础软件开发；人工智能理论与算法软件开发；人工智能基础资源与技术平台；人工智能双创服务平台；人工智能公共数据平台；人工智能行业应用系统集成服务；人工智能公共服务平台技术咨询服务；物联网技术服务；物联网技术研发；物联网应用服务；集成电路芯片及产品销售；电子元器件零售；电子元器件批发；信息系统集成服务；信息技术咨询服务；区块链技术相关软件和服务；网络与信息安全软件开发；企业管理。（公司经营范围最终以工商登记机关审核的范围为准）。,南网数字
920100,控制类电机的研发、生产和销售。,步进电机、无刷电机、伺服电机、减速机,步进电机、无刷电机、伺服电机的全系列、多规格电机产品、驱动产品,电机、电器配件、电机驱动器、电子元器件及产品、机械配件制造、加工、销售；技术咨询和服务；自营和代理各类商品和技术的进出口业务（但国家禁止或限定企业经营的商品和技术除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,三协电机
688120,半导体专用装备的研发、生产、销售及技术服务。,半导体专用装备,CMP装备、减薄装备、划切装备、边缘抛光装备、离子注入装备、湿法装备、晶圆再生、关键耗材、维保服务,一般项目：半导体器件专用设备制造；半导体器件专用设备销售；电子专用设备制造；电子专用设备销售；专用设备修理；电子、机械设备维护（不含特种设备）；机械零件、零部件加工；机械零件、零部件销售；电子专用材料销售；电子专用材料制造；电子专用材料研发；非居住房地产租赁；住房租赁；机动车充电销售；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；货物进出口；技术进出口；企业管理咨询。（除依法须经批准的项目外，凭营业执照依法自主开展经营活动）,华海清科
688550,研发、生产和销售专用有机新材料。,OLED材料、液晶材料、创新药中间体、原料药、半导体光刻胶单体、半导体及OLED封装材料、TFT平坦层光刻胶,OLED材料、液晶材料、创新药中间体、原料药、半导体光刻胶单体、半导体及OLED封装材料、TFT平坦层光刻胶,"液晶显示材料、有机电致发光显示材料、医药中间体(不含药品)、农药中间体以及其它精细化学品(不含危险、监控、易制毒化学品)的研制、开发、生产、销售；化学品加工(不含危险、监控、易制毒化学品);化工机械加工、设备安装；化学试剂及化学原材料(不含危险、监控、易制毒化学品)的销售；化工技术咨询，技术服务(以上不含易燃易爆危险品),光电原材料、电子元器件及机电产品的生产与销售。(以上经营范围除国家规定的专控及前置许可项目)(依法须经批准的项目，经相关部门批准后方可开展经营活动)",瑞联新材
600461,城镇供水、污水处理、清洁能源、固废处置、环境治理等业务。,自来水业务、污水处理业务、燃气能源业务、固废处置业务、其他相关业务,自来水业务、城镇生活污水处理、工业废水处理、燃气能源业务、固废处置业务、其他相关业务,自来水、水表、给排水设备、节水设备、仪器仪表、环保设备的生产、销售，给排水设施的安装、修理；给排水工程设计、安装、技术咨询及培训，软件应用服务，水质检测、水表计量检测、电子计量器具的研制及销售、城市污水处理，信息技术。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。,洪城环境
603619,设备制造业、工程服务和石油开采。,成套钻机设备、钻机核心部件、智能化石油装备、原油及衍生品,成套钻机设备、钻机核心部件、智能化石油装备、原油及衍生品,石油工程、管道工程、海洋石油工程、环保工程、石油和天然气开采，石油、天然气应用、化工、钻井、天然气管道等上述专业技术及产品的研究开发、技术转让、技术咨询、技术服务，石油机械设备、仪器仪表的销售，石化产品（除专控油）的销售，承包境外地质勘查工程和境内国际招标工程，前述境外工程所需的设备、材料出口，对外派遣实施前述工程所需的劳务人员，自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外，勘查工程施工（凭资质）。【依法须经批准的项目，经相关部门批准后方可开展经营活动】,中曼石油
601390,工程建造、设计咨询、装备制造、特色地产、资产经营、资源利用、金融物贸以及新兴业务。,基础设施建设、设计咨询、装备制造、房地产开发,基础设施建设、设计咨询、装备制造、房地产开发,土木工程建筑和线路、管道、设备安装的总承包；上述项目勘测、设计、施工、建设监理、技术咨询、技术开发、技术转让、技术服务的分项承包；土木工程专用机械设备、器材、构件、钢梁、钢结构、建筑材料的研制、生产、销售、租赁；在新建铁路线正式验收交付运营前的临时性客、货运输业务及相关服务；承包本行业的国外工程，境内外资工程；房地产开发、经营，资源开发，物贸物流；进出口业务；经营对销贸易和转口贸易；汽车销售；电子产品及通信信号设备、交电、建筑五金、水暖器材、日用百货的销售。（市场主体依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事国家和本市产业政策禁止和限制类项目的经营活动。）,中国中铁
002839,存贷款、同业存放与同业拆借、金融资产投资以及相关中间业务等。,存放同业、存放中央银行、拆出资金、发放贷款及垫款、买入返售金融资产、金融投资,存放同业、存放中央银行、拆出资金、发放贷款及垫款、买入返售金融资产、金融投资,吸收公众存款；发放短期、中期和长期贷款；办理国内外结算；办理票据承兑与贴现；代理收付款项及代理保险业务；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事同业拆借；提供保管箱服务；办理借记卡业务；外汇存款；外汇贷款；外汇汇款；外币兑换；结汇、售汇；资信调查、咨询、见证服务；经中国银行业监督管理委员会批准的其他业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）许可项目：公募证券投资基金销售（依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准）。,张家港行
000589,轮胎研发、生产及销售。,轮胎,卡客车轮胎、工程机械轮胎、农业机械轮胎、工业车辆轮胎、特种轮胎、乘用车轮胎,法律、法规、国务院决定规定禁止的不得经营；法律、法规、国务院决定规定应当许可（审批）的，经审批机关批准后凭许可（审批）文件经营；法律、法规、国务院决定规定无需许可（审批）的，市场主体自主选择经营。（轮胎制造和销售；轮胎翻新和销售；橡胶制品制造和销售；水电、蒸汽、混炼胶及其他附属品的制造和销售；经营各类商品及技术进出口业务（国家禁止类除外），开展对外合作生产及“三来一补”业务；仓储；物流运输。）,贵州轮胎
000514,房地产开发与销售业务。,住宅、商业及车位、物业管理、房屋租赁、会议展览、石黄隧道经营权,住宅、商业及车位、物业管理、房屋租赁、会议展览、石黄隧道经营权,"许可项目:房地产开发经营;公路管理与养护。(依法须经批准的项目,经相关部门批准后方可开展经营活动,具体经营项目以相关部门批准文件或许可证件为准)一般项目:非居住房地产租赁;住房租赁;房地产咨询;工程管理服务;房屋拆迁服务;土地整治服务;会议及展览服务;停车场服务;餐饮管理;酒店管理。(除依法须经批准的项目外,凭营业执照依法自主开展经营活动)",渝 开 发
601179,输配电及控制设备研发、设计、制造、销售、检测、相关设备成套、技术研究、服务与工程承包等业务。,输配电及控制设备,变压器、开关、换流阀、绝缘子和避雷器、套管、电容器、交直流互感器、电力电子、能源设备控制,输配电和控制设备及相关电器机械和器材、电子机械一体化产品、电子通讯设备、普通机械的研究、设计、制造、销售及相关技术研究、服务；经营本公司自产产品的出口业务和本公司所需机械设备、零配件、原辅材料的进口业务，国内外电网、电站成套工程的总承包和分包，及其他进出口贸易；商务服务和科技交流业务；房屋及设备的租赁。(以上经营范围除法律法规的前置许可项目，法律法规另有规定的从其规定)。,中国西电
